Image Name,Concentration,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Control
8000 c1 r1.jpg,8000,105283,165679,211880,356967,96462,30464,312488
8000 c1 r2.jpg,8000,108143,180040,203144,293460,78498,27870,301099
8000 c1 r3.jpg,8000,99499,173710,204486,298934,79813,26191,266926
8000 c2 r1.jpg,8000,11574,15484,243418,326133,58218,31166,461717
8000 c2 r2.jpg,8000,6798,10331,263979,256591,52506,18897,393861
8000 c2 r3.jpg,8000,4615,9798,274795,267472,48493,18094,369785
8000 c3 r1.jpg,8000,25860,39695,261990,237213,68672,12945,271590
8000 c3 r2.jpg,8000,28509,38510,281224,230492,87344,17246,246133
8000 c3 r3.jpg,8000,33218,41570,277442,244904,82854,17312,264894
1E4 c1 r1.jpg,10000,84515,123337,392832,337426,108988,128164,635548
1E4 c1 r2.jpg,10000,66194,113798,349424,337806,106094,138982,609008
1E4 c1 r3.jpg,10000,84732,115690,313389,319394,79385,90278,594986
1E4 c2 r1.jpg,10000,29013,43228,331578,447656,173838,39639,377441
1E4 c2 r2.jpg,10000,41598,44120,274928,497060,178886,47875,354277
1E4 c2 r3.jpg,10000,42727,46004,308373,471390,184125,48325,323510
1E4 c3 r1.jpg,10000,13936,17385,232042,242625,55828,39735,489396.5
1E4 c3 r2.jpg,10000,14566,17681,234149,215840,53605,32045,433288
1E4 c3 r3.jpg,10000,16553,21577,307725,224723,48075,35992,311787
3E4 C1 R1.jpg,30000,36229,61380,383471,221707,56738,21510,177320
3E4 C1 R2.jpg,30000,30583,52485,321124,228609,56464,22206,170703
3E4 C1 R3.jpg,30000,37035,57690,390805,246269,61769,24247,161605
3E4 C2 R1.jpg,30000,44493,23752,203099,351748,98543,80656,234257
3E4 C2 R2.jpg,30000,34278,16234,154581,298192,89254,75962,235952
3E4 C2 R3.jpg,30000,33995,14806,157983,289046,94495,78436,236963
3E4 C3 R1.jpg,30000,27665,4491,137107,437109,87065,57700,107070
3E4 C3 R2.jpg,30000,38875,16005,174852,416220,92528,56511,96199
3E4 C3 R3.jpg,30000,28341,3911,149461,325751,77834,46746,106174
5E4 c1 r1.jpg,50000,96990,56284,415848,447879,202345,92200,511818
5E4 c1 r2.jpg,50000,88406,57662,392526,444158,193067,88288,563902
5E4 c1 r3.jpg,50000,130308,70779,385297,429578,214907,114532,674908
5E4 c2 r1.jpg,50000,94800,212716,352658,314262,183682,198572,692748
5E4 c2 r2.jpg,50000,81853,206998,467243,276987,184310,173191,632624
5E4 c2 r3.jpg,50000,78528,218367,454104,320411,184321,180385,611753
5E4 c3 r1.jpg,50000,231877,51661,468691,388167,105159,145470,400432.5
5E4 c3 r2.jpg,50000,258254,73921,435034,398565,103901,128834,390989
5E4 c3 r3.jpg,50000,280374,93635,435313,384808,129984,163291,394473.5
1E5 C1 R1.jpg,100000,75724,86130,233587,264931,126385,100631,196508
1E5 C1 R2.jpg,100000,74076,84103,232300,253060,107221,93044,194405
1E5 C1 R3.jpg,100000,67301,75239,222488,257122,126448,101648,188631
1E5 C2 R1.jpg,100000,38641,34679,287655,314174,141958,31878,96312
1E5 C2 R2.jpg,100000,34052,32970,268053,316470,137938,29115,91627
1E5 C2 R3.jpg,100000,40104,36524,296911,299497,122803,29800,100397
1E5 C3 R1.jpg,100000,15370,20107,192475,443773,139849,41887,92161
1E5 C3 R2.jpg,100000,15729,22355,166513,416186,137475,37676,107015
1E5 C3 R3.jpg,100000,18206,26076,189317,404184,130025,39958,105619
2.5E5 C1 R1.jpg,250000,19323,34896,253648,558832,171916,53677,124769
2.5E5 C1 R2.jpg,250000,22558,32414,241745,640714,174997,69620,112257
2.5E5 C1 R3.jpg,250000,17578,30000,235086,566138,165345,57268,118975
2.5E5 C2 R1.jpg,250000,43751,37277,275029,517980,230979,22440,78180
2.5E5 C2 R2.jpg,250000,39425,35995,262298,561283,258032,27541,81850
2.5E5 C2 R3.jpg,250000,41594,36469,264795,516090,238883,23034,81814
2.5E5 C3 R1.jpg,250000,59116,52754,412746,355568,161392,71851,192705
2.5E5 C3 R2.jpg,250000,59895,53490,394528,386518,168149,87953,182816
2.5E5 C3 R3.jpg,250000,63038,57959,416722,370782,165173,78080,202661
5E5 C1 R1.jpg,500000,47580,21143,319487,518049,342572,201065,132320
5E5 C1 R2.jpg,500000,49067,21933,325022,520426,342146,197468,133118
5E5 C1 R3.jpg,500000,41172,11425,312666,481328,338923,199221,130849
5E5 C2 R1.jpg,500000,56605,64934,363068,620380,155201,84628,202774
5E5 C2 R2.jpg,500000,59313,61691,374732,622304,157721,83481,195450
5E5 C2 R3.jpg,500000,60134,63033,379512,608477,144717,88710,190568
5E5 C3 R1.jpg,500000,41222,22956,322650,694880,328288,144431,117768
5E5 C3 R2.jpg,500000,39866,24093,319657,692535,326020,141865,115041
5E5 C3 R3.jpg,500000,40183,22140,320142,699655,324183,136657,114232
1E6 C1 R1.jpg,1000000,126340,116626,499504,860704,605396,395404,77005
1E6 C1 R2.jpg,1000000,109968,105777,452094,853270,621427,385513,77016
1E6 C1 R3.jpg,1000000,117369,109777,471082,867947,590500,388499,76829
1E6 C2 R1.jpg,1000000,180982,120961,676374,791353,456092,181714,57642
1E6 C2 R2.jpg,1000000,173423,114106,663709,762766,450711,176726,54988
1E6 C2 R3.jpg,1000000,177512,117471,651532,753160,447166,165510,54432
1E6 C3 R1.jpg,1000000,164178,127797,514886,825521,472921,288414,96008
1E6 C3 R2.jpg,1000000,163290,131207,511985,782143,471478,265967,100497
1E6 C3 R3.jpg,1000000,164428,131505,512428,826185,470673,289028,101526